"ID";"Bezeichner";"Footprint";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"U1,U4,U2";"DIP-16_W7.62mm";3;"LTV-847";;;
2;"Q2";"Q_SOT-23";1;"LBSS84LT1G";;;
3;"J12";"SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm";1;"BrakeFluid";;;
4;"J18";"SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm";1;"TFT_GND";;;
5;"J1";"PHOENIX_1729128_2x2,54";1;"To USB converter";;;
6;"R9,R13,R10";"R_0603x4";3;"10kΩ";;;
7;"R7,R8,R11";"R_0603x4";3;"4.7kΩ";;;
8;"J9";"SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm";1;"MotorCap";;;
9;"R1,R5";"R_0603";2;"100kΩ";;;
10;"J17";"SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm";1;"TFT_DC";;;
11;"J16";"SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm";1;"TFT_CS";;;
12;"Q1";"SOT-363_SC-70-6";1;"MMDT3904";;;
13;"J26";"SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm";1;"Memory";;;
14;"U101";"SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL";1;"SN65HVD230DR";;;
15;"J4";"SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm";1;"TFT_5V";;;
16;"J10";"SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm";1;"WhiperWater";;;
17;"J5,J20";"PinSocket_1x19_P2.54mm_Vertical";2;"Conn_01x19_Socket";;;
18;"J3";"SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm";1;"K30";;;
19;"J6";"SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm";1;"K31";;;
20;"J15";"SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm";1;"Door_S";;;
21;"D2,D1";"D_SMB";2;"S3MB";;;
22;"J29";"SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm";1;"Mode";;;
23;"R101,R6";"R_0603";2;"10kΩ";;;
24;"R2";"R_0603";1;"220kΩ";;;
25;"J27";"SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm";1;"Can_L";;;
26;"J14";"SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm";1;"OilPresure";;;
27;"J19";"SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm";1;"TFT_SLK";;;
28;"R4";"R_0603";1;"220Ω";;;
29;"J2";"SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm";1;"K15";;;
30;"J25";"SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm";1;"Can_H";;;
31;"R12";"R_0603";1;"4.7kΩ";;;
32;"J13";"SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm";1;"Door_R";;;
33;"U3";"DIP-4_W7.62mm";1;"LVT 817";;;
34;"J11";"SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm";1;"BrakePads";;;
35;"J101";"SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm";1;"O_Lev_LED";;;
36;"J22";"SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm";1;"TFT_RST";;;
37;"J8";"SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm";1;"oilSensor";;;
38;"J7";"SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm";1;"Coolant";;;
39;"J21";"SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm";1;"TFT_MOSI";;;
40;"J24";"SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm";1;"Reset";;;
41;"J28";"SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm";1;"Trunk";;;
42;"R3";"R_0603";1;"33kΩ";;;
