Designator,Mid X,Mid Y,Rotation,Layer
BME_280,134.9376,-117.5032,90.0,top
C1,147.1376,-120.5512,180.0,top
C2,154.7496,-113.1852,90.0,top
D1,152.9716,-139.6012,90.0,top
D2,152.9716,-131.9812,90.0,top
GPS,174.0536,-115.7252,270.0,top
HOLE_1,125.5116,-138.2032,0.0,top
HOLE_2,135.7116,-111.9032,0.0,top
HOLE_3,135.2116,-82.1032,0.0,top
HOLE_4,179.6616,-142.8032,0.0,top
J1,160.5518,-123.8278,90.0,top
J2,160.5518,-149.2278,270.0,top
Q1,144.0816,-134.3432,270.0,top
Q2,144.1936,-139.5352,270.0,top
R1,147.5796,-135.0292,0.0,top
R10,148.3996,-78.1032,270.0,top
R11,175.6476,-104.1032,90.0,top
R12,157.5436,-107.5972,270.0,top
R13,176.1556,-78.1032,270.0,top
R14,181.7316,-111.4072,180.0,top
R15,169.4816,-132.7432,180.0,top
R16,158.0516,-112.9312,180.0,top
R17,152.9716,-116.7412,270.0,top
R18,149.6696,-120.2972,180.0,top
R2,147.5796,-133.5052,0.0,top
R3,144.0236,-130.4572,180.0,top
R4,147.5796,-131.9812,180.0,top
R5,147.5796,-136.5532,0.0,top
R6,147.5796,-138.0772,0.0,top
R7,161.0996,-104.1032,90.0,top
R8,137.5856,-99.1272,90.0,top
R9,162.1856,-78.1032,270.0,top
U1,162.1156,-90.4932,0.0,top
U2,147.3836,-90.4932,0.0,top
U3,176.0831,-90.4932,0.0,top
U4,169.4816,-110.1372,270.0,top
U5,169.7356,-136.2992,180.0,top
U6,148.3696,-114.6657,180.0,top
USB_OUT1,128.5626,-148.7497,270.0,top
